plId;pl_usId;plShare;plTitle;plDate;plWhere;lat;lng;plComment;seen
41;11111111;1;Toulouse. Porche;01/08/2015;;43.5941322;1.4471161;;0
42;11111111;1;Toulouse. Ruine préfecture;01/08/2015;;43.5980944;1.4513299;;0
43;11111111;1;Albi. Rebord d'une fenêtre;01/08/2015;;43.9225876;2.1565175;;0
44;11111111;1;Albi. Porche;01/08/2015;;43.9242974;2.1532452;;0
45;11111111;0;@ Soeur Home;01/08/2015;;43.922179;2.160447;;0
46;11111111;1;Canal de Gairaut;01/09/2015;;43.7410089;7.2709443;;0
47;11111111;1;Domaine des Bertrands - Derrière un arbre;01/09/2015;;43.3667744;6.4133495;;0
48;11111111;1;Domaine des Bertrands - Salon - 17 pers dans la maison;01/09/2015;;43.3665014;6.4134528;;0
49;11111111;1;Domaine des Bertrands - Chambre;01/09/2015;;43.3665053;6.4133857;;0
50;11111111;1;Hôtel L'Ermitage;01/09/2015;;43.77413;6.21708;;0
51;11111111;1;Hotel le Cagnard, suite Matisse. 3 rue Sous Barri, sortie de secours ouverte;01/10/2015;;43.6664038;7.1448483;;0
52;11111111;1;Porte cochère, dans ruelle sombre.;01/10/2015;;43.6668026;7.1445975;;0
53;11111111;1;Mango;01/10/2015;;43.6640183;7.1274769;;0
54;11111111;1;Bershka;01/10/2015;;43.6641289;7.1282065;;0
55;11111111;1;Etam;01/10/2015;;43.6637951;7.127713;;0
56;11111111;1;Orcanta;01/10/2015;;43.6660556;7.1251702;;0
57;11111111;1;Acadomia;01/11/2015;;43.7045581;7.2716229;;0
58;11111111;1;Edhec. Parking;01/11/2015;;43.6694625;7.2209814;;0
59;11111111;1;Kookaï;01/11/2015;;43.6979098;7.2687918;;0
60;11111111;1;H&M;01/11/2015;;43.6994922;7.2683117;;0
61;11111111;1;Au fond d'une ruelle, sur les marches du canal.;01/12/2015;;45.4365726;12.3278162;;0
62;11111111;1;Hotel A La Commedia ;01/12/2015;;45.4362856;12.3347712;fenêtre;1
63;11111111;1;Bus de ville;01/12/2015;;45.458746;12.2896242;;0
64;11111111;1;Banc public;01/12/2015;;45.4329626;12.3385061;;0
65;11111111;1;Parking Carrefour;01/12/2015;;43.6033762;7.0906448;;0
66;11111111;1;Mango;01/01/2016;;43.7000158;7.2686791;;0
67;11111111;1;Orcanta;01/01/2016;;43.7015904;7.2676975;;0
68;11111111;1;Mandelieu la Napoule. Chemin.;01/01/2016;;43.5199027;6.9412284;;0
69;11111111;1;Mandelieu la Napoule. Parking;01/01/2016;;43.5336549;6.9456714;;0
70;11111111;1;Célio;01/01/2016;;43.7010358;7.2674936;;0
71;11111111;1;Nice. Ruelle;01/01/2016;;43.7082508;7.2626603;;0
72;11111111;1;Amphithéâtre (les Arènes);01/03/2016;;43.6774922;4.6304932;;0
73;11111111;1;Théâtre antique;01/03/2016;;43.6765019;4.6302532;;0
74;11111111;1;Cryptoportiques;01/03/2016;;43.6768627;4.6271861;;0
75;11111111;1;Hotel Le Calendal.;01/03/2016;;43.6767876;4.6305797;;0
76;11111111;1;Hamam/douche SPA - Le Calendal;01/03/2016;;43.6768055;4.6306575;;0
77;11111111;1;Jardin publique - entrée.;01/03/2016;;43.6756687;4.630107;;0
78;11111111;1;Parking. Escalier;01/03/2016;;43.67482;4.6297087;;0
79;11111111;1;Buffalo Grill;01/03/2016;;43.663083;4.6369278;;0
80;11111111;1;Abbaye de Montmajour. Tour;01/03/2016;;43.7053812;4.6640557;;0
